Date,T,U
2016-12-31,-4.95,96.625
2017-01-01,-5.145833333333333,95.25
2017-01-02,1.5833333333333337,86.20833333333333
2017-01-03,5.220833333333332,80.08333333333333
2017-01-04,14.466666666666669,59.083333333333336
2017-01-05,8.235,74.35
2017-01-06,19.462500000000002,64.95833333333333
2017-01-07,15.754166666666668,78.08333333333333
2017-01-08,22.85833333333333,70.66666666666667
2017-01-09,15.137499999999998,75.29166666666667
2017-01-10,12.279166666666663,81.41666666666667
2017-01-11,8.308333333333332,74.41666666666667
2017-01-12,-0.6249999999999999,91.83333333333333
2017-01-13,1.9291666666666665,77.79166666666667
2017-01-14,0.8166666666666665,83.0
2017-01-15,-0.4416666666666667,84.625
2017-01-16,-3.369565217391304,82.69565217391305
2017-01-17,-3.283333333333333,77.33333333333333
2017-01-18,-3.841666666666667,72.95833333333333
2017-01-19,-4.920833333333333,68.375
2017-01-20,-3.0541666666666667,60.0
2017-01-21,-3.6208333333333336,71.20833333333333
2017-01-22,-5.454166666666666,78.875
2017-01-23,-9.2,88.5
2017-01-24,-7.249999999999999,89.04166666666667
2017-01-25,-4.208333333333334,81.375
2017-01-26,-1.4208333333333334,70.625
2017-01-27,-2.1833333333333336,71.70833333333333
2017-01-28,-4.3708333333333345,78.25
2017-01-29,-3.079166666666667,78.70833333333333
2017-01-30,0.741666666666667,93.58333333333333
2017-01-31,2.920833333333334,90.91666666666667
2017-02-01,-1.3166666666666669,94.04166666666667
2017-02-02,2.5249999999999995,94.75
2017-02-03,7.699999999999998,63.75
2017-02-04,13.433333333333332,70.75
2017-02-05,7.25833333333333,95.66666666666667
2017-02-06,20.958333333333336,61.666666666666664
2017-02-07,16.5875,81.25
2017-02-08,22.512499999999992,73.625
2017-02-09,13.3125,75.08333333333333
2017-02-10,11.737500000000002,91.0
2017-02-11,9.504166666666665,76.75
2017-02-12,-3.1625000000000014,97.08333333333333
2017-02-13,2.8916666666666675,68.75
2017-02-14,3.1166666666666685,61.625
2017-02-15,2.1249999999999996,75.125
2017-02-16,2.7125,85.20833333333333
2017-02-17,5.629166666666666,90.25
2017-02-18,5.333333333333333,84.79166666666667
2017-02-19,2.354166666666667,89.75
2017-02-20,6.229166666666668,85.83333333333333
2017-02-21,9.029166666666667,90.20833333333333
2017-02-22,9.116666666666665,89.0
2017-02-23,9.570833333333335,74.04166666666667
2017-02-24,5.2375,60.75
2017-02-25,2.920833333333334,74.91666666666667
2017-02-26,6.816666666666667,59.375
2017-02-27,9.549999999999999,60.416666666666664
2017-02-28,5.5874999999999995,81.45833333333333
2017-03-01,0.1041666666666667,88.75
2017-03-02,3.9375000000000004,95.20833333333333
2017-03-03,6.416666666666665,62.791666666666664
2017-03-04,12.691666666666668,67.875
2017-03-05,8.108333333333333,97.83333333333333
2017-03-06,21.083333333333336,72.66666666666667
2017-03-07,18.01666666666667,71.79166666666667
2017-03-08,21.425000000000008,80.75
2017-03-09,13.049999999999999,77.0
2017-03-10,12.272727272727273,84.68181818181819
2017-03-11,7.741666666666667,91.91666666666667
2017-03-12,-2.045833333333333,88.83333333333333
2017-03-13,4.983333333333333,62.916666666666664
2017-03-14,7.220833333333335,68.04166666666667
2017-03-15,9.025,74.75
2017-03-16,9.279166666666669,65.75
2017-03-17,8.749999999999998,68.20833333333333
2017-03-18,8.258333333333335,84.20833333333333
2017-03-19,10.316666666666665,89.41666666666667
2017-03-20,10.9125,69.0
2017-03-21,9.041666666666666,77.20833333333333
2017-03-22,5.745833333333334,87.79166666666667
2017-03-23,8.283333333333333,84.83333333333333
2017-03-24,8.033333333333333,77.0
2017-03-25,8.820833333333333,61.416666666666664
2017-03-26,9.204347826086957,53.17391304347826
2017-03-27,9.79166666666667,45.25
2017-03-28,10.622727272727275,55.18181818181818
2017-03-29,13.926086956521738,59.34782608695652
2017-03-30,14.087500000000006,63.875
2017-03-31,15.220833333333331,60.833333333333336
2017-04-01,0.8125000000000001,90.0
2017-04-02,4.108333333333333,87.375
2017-04-03,8.441666666666668,65.70833333333333
2017-04-04,9.579166666666666,70.0
2017-04-05,10.379166666666665,90.95833333333333
2017-04-06,17.408333333333335,81.04166666666667
2017-04-07,20.008333333333336,60.208333333333336
2017-04-08,20.829166666666662,69.25
2017-04-09,13.925000000000002,71.83333333333333
2017-04-10,10.790909090909093,80.22727272727273
2017-04-11,6.983333333333332,92.875
2017-04-12,1.479166666666667,91.83333333333333
2017-04-13,11.137499999999998,63.541666666666664
2017-04-14,9.783333333333333,61.5
2017-04-15,9.970833333333333,68.5
2017-04-16,7.045833333333332,71.33333333333333
2017-04-17,5.0,82.91666666666667
2017-04-18,3.883333333333333,80.25
2017-04-19,2.9291666666666667,72.45833333333333
2017-04-20,3.845833333333333,61.791666666666664
2017-04-21,7.729166666666667,59.75
2017-04-22,9.174999999999999,67.625
2017-04-23,6.150000000000002,59.875
2017-04-24,8.437500000000002,58.708333333333336
2017-04-25,7.821739130434781,66.56521739130434
2017-04-26,6.099999999999999,72.83333333333333
2017-04-27,6.575,73.45833333333333
2017-04-28,8.041666666666666,61.708333333333336
2017-04-29,8.929166666666665,61.625
2017-04-30,10.391666666666667,60.0
2017-05-01,-1.658333333333333,70.83333333333333
2017-05-02,4.637499999999999,82.66666666666667
2017-05-03,7.608333333333332,70.41666666666667
2017-05-04,9.220833333333337,66.91666666666667
2017-05-05,9.962500000000002,84.04166666666667
2017-05-06,14.587499999999999,87.0
2017-05-07,21.912499999999998,61.208333333333336
2017-05-08,20.133333333333333,70.0
2017-05-09,16.8625,74.45833333333333
